NO,STREETADDRESS,POSTALCODE,STATEORPROVINCE,CITY,SALESCLOSEPRICE,LISTDATE,LISTPRICE,LISTTYPE,ORIGINALLISTPRICE,PRICEPERTSFT,FOUNDATIONSIZE,FENCE,SCHOOLDISTRICTNUMBER,DAYSONMARKET,OFFMKTDATE,FIREPLACES,ROOMTYPE,ROOF,POTENTIALSHORTSALE,POOLDESCRIPTION,PDOM,GARAGEDESCRIPTION,SQFTABOVEGROUND,TAXES,TAXWITHASSESSMENTS,TAXYEAR,LIVINGAREA,UNITNUMBER,YEARBUILT,ZONING,STYLE,ACRES,COOLINGDESCRIPTION,APPLIANCES,BACKONMARKETDATE,EXTERIOR,DININGROOMDESCRIPTION,BASEMENT,BATHSFULL,BATHSHALF,BATHQUARTER,BATHSTHREEQUARTER,CLASS,BATHSTOTAL,BATHDESC,BEDROOMS,SQFTBELOWGROUND,ASSUMABLEMORTGAGE,ASSOCIATIONFEE,ASSESSMENTPENDING,ASSESSEDVALUATION
3429,"2565 Franklin Ave, 211",55114,MN,STP - Saint Paul,326000,7/7/17 0:00,332500,Exclusive Right,332500,186.7125,1746,,625 - St. Paul,26,8/2/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Deck, Deck, Storage Room",Flat,No,None,26,"Attached Garage, Insulated Garage, Heated Garage, Underground Garage, Driveway - Concrete, Assigned, Garage Door Opener, Other",1746,4338,4338,2017,1746,211,2005,Residential-Single,(CC) High Rise (4+ Levels),0,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Brick/Stone,"Breakfast Area, Kitchen/Dining Room, Living/Dining Room",None,1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Master",3,0,Not Assumable,481,No,0
3430,1225 Edgcumbe Rd,55105,MN,STP - Saint Paul,325000,6/22/17 0:00,332500,Exclusive Right,339900,143.8053,910,"Partial, Other",625 - St. Paul,28,7/20/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Family Room, Office","Asphalt Shingles, Age Over 8 Years",No,,13,Detached Garage,1820,6194,6194,2017,2260,,1940,Residential-Single,(SF) One 1/2 Stories,0.149,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Brick/Stone,"Separate/Formal Dining Room, Eat In Kitchen, Breakfast Area","Full, Finished (Livable), Concrete Block",1,0,0,2,SF,3,"Main Floor Full Bath, Upper Level 3/4 Bath, 3/4 Basement",3,440,Not Assumable,0,No,0
3431,2143 Dayton Ave,55104,MN,STP - Saint Paul,320000,3/8/17 0:00,333000,Exclusive Right,337199,146.1187,775,Wood,625 - St. Paul,22,3/30/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Loft, Patio, Deck","Asphalt Shingles, Age Over 8 Years",No,,7,"Detached Garage, Driveway - Concrete, Garage Door Opener",1800,5233,5376,2017,2190,,1909,Residential-Single,(SF) Two Stories,0.12,None,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Stucco,Separate/Formal Dining Room,"Full, Finished (Livable), Partial Finished, Drain Tiled",1,0,1,1,SF,3,"Upper Level Full Bath , Other, 3/4 Basement",3,390,,0,Unknown,143
3432,1738 Saint Clair Ave,55105,MN,STP - Saint Paul,334900,7/18/17 0:00,334900,Exclusive Right,339500,240.4164,893,Wood,625 - St. Paul,50,9/6/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Deck, Mud Room","Asphalt Shingles, Pitched, Age Over 8 Years",No,None,26,"Detached Garage, Driveway - Asphalt, Garage Door Opener",893,3182,3182,2017,1393,,1921,Residential-Single,(SF) One Story,0.11,Ductless Mini-Split,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Stucco,Informal Dining Room,"Full, Finished (Livable), Drain Tiled, Sump Pump, Day/Lookout Windows, Egress Windows, Concrete Block",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",3,500,,0,No,0
3433,1276 Berkeley Ave,55105,MN,STP - Saint Paul,325000,5/19/17 0:00,334900,Exclusive Right,334900,220.9381,921,"Wood, Privacy, Full",625 - St. Paul,17,6/7/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room","Asphalt Shingles, Pitched, Age Over 8 Years",No,"Below Ground, Outdoor, Heated",17,"Detached Garage, Driveway - Other Surface, Garage Door Opener",1471,5094,5152,2017,1471,,1928,Residential-Single,(SF) One 1/2 Stories,0.14,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Stucco,Separate/Formal Dining Room,"Full, Concrete Block",1,0,0,0,SF,1,Main Floor Full Bath,4,0,Not Assumable,0,No,58.2
3434,1717 Minnehaha Ave W,55104,MN,STP - Saint Paul,316500,5/12/17 0:00,334900,Service Agreement,364900,113.8489,1040,Chain Link,625 - St. Paul,71,7/22/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Fifth (5th) Bedroom, Sixth (6th) Bedroom, Second Kitchen, Porch","Asphalt Shingles, Age Over 8 Years",No,,44,"Detached Garage, Garage Door Opener",1740,3918,3972,2017,2780,,1914,Residential-Single,(SF) One 1/2 Stories,0.15,Window,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Metal,Separate/Formal Dining Room,"Full, Finished (Livable), Egress Windows",3,0,0,0,SF,3,"Main Floor Full Bath, Upper Level Full Bath , Full Basement",6,1040,,0,Unknown,54
3435,1323 Fairmount Ave,55105,MN,STP - Saint Paul,350500,5/5/17 0:00,334900,Exclusive Right,334900,212.1671,728,Wire,625 - St. Paul,1,5/22/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch",Asphalt Shingles,No,,1,Detached Garage,1392,3952,4006,2016,1652,,1922,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,Wood,Separate/Formal Dining Room,"Full, Finished (Livable)",1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",2,260,,0,Unknown,54
3436,1902 Park Ridge Ct,55119,MN,STP - Saint Paul,335000,10/26/17 0:00,335000,Exclusive Right,335000,104.6875,1344,None,625 - St. Paul,9,11/4/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Office, Laundry, Family Room",Asphalt Shingles,No,None,9,"Attached Garage, Driveway - Asphalt",3200,5353,5670.38,2017,3200,,1992,Residential-Single,(SF) Two Stories,0.246,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Other,"Separate/Formal Dining Room, Eat In Kitchen","Full, Unfinished",3,1,0,0,SF,4,"Main Floor 1/2 Bath, Full Master, Separate Tub & Shower, Whirlpool, Two Master Baths",4,0,Not Assumable,0,Unknown,317
3437,566 Syndicate St S,55116,MN,STP - Saint Paul,340000,8/3/17 0:00,335000,Exclusive Right,335000,145.6727,729,"Chain Link, Full",625 - St. Paul,9,8/17/17 0:00,3,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room, Office, Laundry",Asphalt Shingles,No,None,9,"Attached Garage, Driveway - Concrete",1704,3605,3938,2016,2334,,1948,Residential-Single,(SF) Two Stories,0.11,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Disposal",,Stucco,Living/Dining Room,"Full, Finished (Livable)",1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",3,630,,0,Unknown,333
3438,1635 Watson Ave,55116,MN,STP - Saint Paul,340000,5/23/17 0:00,335000,Exclusive Right,335000,183.9827,976,,625 - St. Paul,2,6/2/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Patio, Patio, Sitting Room","Asphalt Shingles, Age 8 Years or Less",No,,2,"Detached Garage, Driveway - Concrete, Garage Door Opener",1489,3464,3464,2017,1848,,1927,Residential-Single,(SF) One 1/2 Stories,0.12,"Window, Wall","Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Stucco,Living/Dining Room,"Full, Finished (Livable), Drain Tiled, Sump Pump, Concrete Block",1,1,1,0,SF,3,"Main Floor Full Bath, Upper Level 1/2 Bath, Basement",3,359,,0,No,0
3439,1292 Goodrich Ave,55105,MN,STP - Saint Paul,345000,5/18/17 0:00,335000,Exclusive Right,349900,197.0303,1016,"Wood, Chain Link, Full",625 - St. Paul,53,7/31/17 0:00,1,"Living Room, Dining Room, , Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Informal Dining Room, Porch",Asphalt Shingles,No,None,2,"Detached Garage, Driveway - Asphalt, Garage Door Opener",1751,5433,5492,2017,1751,,1929,Residential-Single,(SF) One 1/2 Stories,0.14,None,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,"Stucco, Brick/Stone","Separate/Formal Dining Room, Eat In Kitchen","Full, Stone, Unfinished",1,1,0,0,SF,2,"Main Floor 1/2 Bath, Upper Level Full Bath , Separate Tub & Shower",4,0,Not Assumable,0,Yes,28
3440,1797 Munster Ave,55116,MN,STP - Saint Paul,335000,4/16/17 0:00,335000,Exclusive Right,359000,120.1578,1028,"Wood, Chain Link, Privacy, Full",625 - St. Paul,18,5/4/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Three Season Porch, Family Room","Asphalt Shingles, Pitched, Age 8 Years or Less",No,,14,"Detached Garage, Insulated Garage, Garage Door Opener",1760,2728,2782,2016,2788,,1923,Residential-Single,(SF) One 1/2 Stories,0.17,"Central, Ductless Mini-Split","Range, Wall Oven, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal, Furnace Humidifier",,Stucco,Separate/Formal Dining Room,"Full, Finished (Livable), Day/Lookout Windows, Concrete Block",1,0,0,1,SF,2,"Main Floor Full Bath, Upper Level 3/4 Bath, Private Master, 3/4 Master, Bathroom Ensuite",3,1028,Not Assumable,0,No,54
3441,1439 Bayard Ave,55116,MN,STP - Saint Paul,325000,4/11/17 0:00,335000,Exclusive Right,359900,178.9648,803,Chain Link,625 - St. Paul,61,6/17/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry",Asphalt Shingles,No,,11,Detached Garage,1218,5356,5356,2016,1816,,1941,Residential-Single,(SF) One 1/2 Stories,0.15,Central,"Range, Microwave, Refrigerator, Washer, Dryer",,Shakes,Separate/Formal Dining Room,"Full, Finished (Livable)",1,0,0,2,SF,3,"Main Floor Full Bath, 3/4 Master, Full Basement, Whirlpool",4,598,Not Assumable,0,Unknown,0
3442,2173 Snowshoe Ln E,55119,MN,STP - Saint Paul,338000,11/2/17 0:00,338000,Exclusive Right,338000,131.0078,1476,None,625 - St. Paul,12,11/14/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Gazebo","Asphalt Shingles, Pitched, Age Over 8 Years",No,None,12,"Attached Garage, Insulated Garage, Driveway - Concrete",1476,3695,4896,2017,2580,,1973,Residential-Single,(SF) One Story,0.426,Central,"Range, Exhaust Fan/Hood, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Water Softener - Owned, Disposal, Furnace Humidifier",,"Shakes, Brick/Stone","Informal Dining Room, Eat In Kitchen, Breakfast Area, Kitchen/Dining Room","Full, Finished (Livable), Sump Pump, Day/Lookout Windows, Concrete Block",1,0,0,2,SF,3,"Main Floor Full Bath, Main Floor 3/4 Bath, Private Master, Full Basement, 3/4 Basement",3,1104,Not Assumable,0,Unknown,1201
3443,1452 Sargent Ave,55105,MN,STP - Saint Paul,345000,7/31/17 0:00,339000,Exclusive Right,339000,185.8836,622,Wood,625 - St. Paul,16,8/16/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Deck","Asphalt Shingles, Pitched",No,,16,Detached Garage,1234,4464,4518,2016,1856,,1924,Residential-Single,(SF) Two Stories,0.12,None,"Range, Microwave, Refrigerator, Freezer, Washer, Dryer, Disposal",,Stucco,"Separate/Formal Dining Room, Eat In Kitchen",Full,1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",3,622,Not Assumable,0,Unknown,54
3444,1879 Marshall Ave,55104,MN,STP - Saint Paul,354500,5/10/17 0:00,339000,Exclusive Right,339000,181.6086,1013,Chain Link,625 - St. Paul,20,5/30/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Screened Porch, Sitting Room, Bar/Wet Bar Room","Asphalt Shingles, Age Over 8 Years",No,,20,Detached Garage,1952,3892,3946,2016,1952,,1907,Residential-Single,(SF) Two Stories,0.16,Central,"Range, Dishwasher, Refrigerator, Washer, Dryer",,"Wood, Brick/Stone","Separate/Formal Dining Room, Eat In Kitchen",Unfinished,1,0,0,0,SF,1,Main Floor Full Bath,3,0,Not Assumable,0,No,54
3445,287 Blair Ave,55103,MN,STP - Saint Paul,325000,5/3/17 0:00,339000,Exclusive Right,387000,83.2053,1403,"Chain Link, Privacy, Partial",625 - St. Paul,125,11/16/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Fifth (5th) Bedroom, Sixth (6th) Bedroom, Loft, Porch, Laundry, Second Kitchen","Asphalt Shingles, Age 8 Years or Less",No,None,3,"Detached Garage, Driveway - Concrete, Garage Door Opener",2806,4306,0,2017,3906,,2013,Residential-Single,(SF) Two Stories,0.13,"Window, Wall","Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer, Tankless Water  Heater, Disposal, Air-To-Air Exchanger",,Vinyl,"Eat In Kitchen, Breakfast Area, Living/Dining Room","Full, Finished (Livable), Drain Tiled, Sump Pump, Day/Lookout Windows, Egress Windows, Poured Concrete",3,0,0,0,SF,3,"Main Floor Full Bath, Upper Level Full Bath , Walk-In Shower, Full Basement, Separate Tub & Shower, Whirlpool",6,1100,Not Assumable,0,No,0
3446,1507 Canfield Ave,55108,MN,STP - Saint Paul,355000,3/31/17 0:00,339000,Exclusive Right,339000,151.6446,861,Wood,625 - St. Paul,7,4/10/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Fifth (5th) Bedroom","Asphalt Shingles, Age Over 8 Years",No,,7,"Detached Garage, Driveway - Asphalt",1601,4308,4308,2016,2341,,1920,Residential-Single,(SF) Two Stories,0.22,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,"Wood, Stucco",Separate/Formal Dining Room,Full,1,1,0,1,SF,3,"Main Floor 1/2 Bath, Upper Level Full Bath , 3/4 Basement",5,740,Not Assumable,0,Unknown,0
3447,1289 Victoria St N,55117,MN,STP - Saint Paul,351000,5/26/17 0:00,339500,Exclusive Right,339500,206.4706,1108,Wood,625 - St. Paul,14,6/9/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Loft, Recreation Room, Patio, Foyer","Asphalt Shingles, Age 8 Years or Less",No,,14,Detached Garage,1700,3825,3884,2017,1700,,1939,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,Stucco,"Separate/Formal Dining Room, Eat In Kitchen",Full,2,0,0,0,SF,2,"Main Floor Full Bath, Upper Level Full Bath ",4,0,,0,No,58
3448,86 Upper Afton Ter,55106,MN,STP - Saint Paul,350000,4/24/17 0:00,339500,Exclusive Right,339500,117.3315,1102,None,625 - St. Paul,25,5/19/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Family Room, Laundry, Informal Dining Room, Recreation Room, Second Kitchen","Asphalt Shingles, Age 8 Years or Less",No,None,25,Attached Garage,2083,5197,5255,2016,2983,,1998,Residential-Single,(SF) Two Stories,0.22,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,"Metal, Vinyl","Separate/Formal Dining Room, Informal Dining Room, Eat In Kitchen, Breakfast Area","Full, Finished (Livable), Egress Windows",2,1,0,1,SF,4,"Main Floor 1/2 Bath, Upper Level Full Bath , Private Master, Full Master, 3/4 Basement",3,900,,0,No,58
3449,1426 Scheffer Ave,55116,MN,STP - Saint Paul,339900,11/13/17 0:00,339900,Exclusive Right,339900,208.7838,928,,625 - St. Paul,3,11/27/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sitting Room, Deck",,No,,3,Detached Garage,1278,4348,4406,2017,1628,,1947,Residential-Single,(SF) One 1/2 Stories,0.11,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer",,"Metal, Vinyl",Living/Dining Room,"Full, Finished (Livable), Egress Windows",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",4,350,Not Assumable,0,Unknown,58
3450,1215 Juliet Ave,55105,MN,STP - Saint Paul,340500,10/24/17 0:00,339900,Exclusive Right,339900,194.3493,800,Partial,625 - St. Paul,27,11/20/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Laundry",Asphalt Shingles,No,,27,"Detached Garage, Carport, Driveway - Asphalt, Garage Door Opener",1200,2992,3200,2017,1752,,1946,Residential-Single,(SF) One 1/2 Stories,0.119,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Metal,"Informal Dining Room, Eat In Kitchen","Full, Concrete Block",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",3,552,,0,Yes,208
3451,2328 Como Ave,55108,MN,STP - Saint Paul,323000,10/3/17 0:00,339900,Exclusive Right,345000,180.8511,1068,Chain Link,625 - St. Paul,39,11/11/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Storage Room","Asphalt Shingles, Age Over 8 Years",No,,23,"Detached Garage, Garage Door Opener",1536,5830,5830,2017,1786,,1912,Residential-Single,(SF) Two Stories,0.17,Central,"Range, Refrigerator, Washer, Dryer",,"Shakes, Stucco, Brick/Stone",Living/Dining Room,"Full, Partial Finished",2,0,1,0,SF,3,"Main Floor Full Bath, Upper Level Full Bath , Basement",4,250,,0,No,0
3452,2022 Thure Ave,55116,MN,STP - Saint Paul,325000,7/19/17 0:00,339900,Exclusive Right,354900,170.2462,888,Chain Link,625 - St. Paul,116,11/30/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age 8 Years or Less",No,,66,Detached Garage,1153,3831,4132,2016,1909,,1951,Residential-Single,(SF) One 1/2 Stories,0.14,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Vinyl,Separate/Formal Dining Room,"Finished (Livable), Egress Windows",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",4,756,,0,Yes,300.88
3453,"168 6th St E, 3004",55101,MN,STP - Saint Paul,325000,6/18/17 0:00,339900,Exclusive Right,349900,225.6944,1440,,625 - St. Paul,50,8/7/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer, Deck, Deck",,No,None,39,"Attached Garage, Underground Garage, Covered, Assigned, Garage Door Opener",1440,4706,4764,2017,1440,3004,1984,Residential-Multi-Family,(CC) High Rise (4+ Levels),0.04,Central,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,Brick/Stone,Living/Dining Room,None,1,0,0,1,SF,2,"Main Floor Full Bath, Main Floor 3/4 Bath, Private Master, Full Master, Walk-In Shower",2,0,,831,Unknown,58.2
3454,1629 Watson Ave,55116,MN,STP - Saint Paul,345000,5/27/17 0:00,339900,Exclusive Right,339900,185.4839,1044,Rail,625 - St. Paul,18,6/14/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Pitched, Age 8 Years or Less",No,None,18,"Detached Garage, Garage Door Opener",1320,5226,5375,2017,1860,,1921,Residential-Single,(SF) One 1/2 Stories,0.12,Window,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Stucco,"Separate/Formal Dining Room, Eat In Kitchen","Full, Finished (Livable), Day/Lookout Windows, Egress Windows, Concrete Block",1,1,0,1,SF,3,"Main Floor Full Bath, Upper Level 1/2 Bath, 3/4 Basement",4,540,Not Assumable,0,Unknown,149
3455,2040 Morgan Ave,55116,MN,STP - Saint Paul,324000,5/17/17 0:00,339900,Exclusive Right,339900,183.0508,960,,625 - St. Paul,13,6/7/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom","Asphalt Shingles, Age 8 Years or Less",No,,13,Detached Garage,975,2540,6012,2017,1770,,1958,Residential-Single,(SF) One Story,0.16,Central,"Range, Cooktop, Microwave, Dishwasher, Washer, Dryer, Disposal",,"Metal, Vinyl","Informal Dining Room, Breakfast Area, Living/Dining Room","Full, Finished (Livable), Drain Tiled, Sump Pump, Egress Windows",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",4,795,Not Assumable,0,Yes,3472.38
3456,686 Macalester St,55116,MN,STP - Saint Paul,337900,5/4/17 0:00,339900,Exclusive Right,339900,216.6026,936,,625 - St. Paul,11,5/15/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sun Room, Porch, Other","Asphalt Shingles, Pitched, Age Over 8 Years",No,None,11,"Detached Garage, Garage Door Opener",936,5256,5256,2017,1560,,1926,Residential-Single,(SF) One Story,0.18,Central,"Range, Refrigerator, Washer, Dryer, Electronic Air Filter",,Stucco,"Separate/Formal Dining Room, Eat In Kitchen","Full, Finished (Livable), Drain Tiled, Sump Pump, Egress Windows",2,0,0,0,SF,2,"Main Floor Full Bath, Full Basement, Basement, Whirlpool",3,624,,0,No,0
3457,616 Wiggins Rd,55119,MN,STP - Saint Paul,333000,3/31/17 0:00,339900,Exclusive Right,339900,115.7054,1144,,625 - St. Paul,14,4/14/17 0:00,2,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Informal Dining Room, Recreation Room, Porch, Deck","Asphalt Shingles, Pitched",No,None,14,"Attached Garage, Driveway - Asphalt, Garage Door Opener",2306,4232,4290,2017,2878,,1983,Residential-Single,(SF) Two Stories,0.23,Central,"Range, Microwave, Dishwasher, Refrigerator, Washer, Dryer, Disposal",,Wood,"Separate/Formal Dining Room, Informal Dining Room, Eat In Kitchen","Full, Finished (Livable), Day/Lookout Windows, Egress Windows",1,1,0,2,SF,4,"Main Floor 1/2 Bath, Upper Level Full Bath , 3/4 Master, 3/4 Basement",4,572,,0,No,0
3458,1797 Iglehart Ave,55104,MN,STP - Saint Paul,338050,3/23/17 0:00,339900,Exclusive Right,349900,177.5473,952,"Wood, Privacy, Full",625 - St. Paul,64,6/5/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Foyer","Asphalt Shingles, Pitched",No,None,25,Detached Garage,1904,4568,4568,2017,1904,,1899,Residential-Single,(SF) More Than Two Stories,0.14,None,"Range, Microwave, Exhaust Fan/Hood, Dishwasher, Refrigerator, Washer, Dryer",,Wood,"Separate/Formal Dining Room, Eat In Kitchen",Full,2,0,0,0,SF,2,"Main Floor Full Bath, Upper Level Full Bath ",4,0,Not Assumable,0,No,0
3459,2107 Juno Ave,55116,MN,STP - Saint Paul,360000,3/17/17 0:00,339900,Exclusive Right,339900,203.5048,916,,625 - St. Paul,3,3/28/17 0:00,1,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Sitting Room, Patio",,No,None,3,"Detached Garage, Garage Door Opener",1269,4590,4702,2016,1769,,1930,Residential-Single,(SF) One 1/2 Stories,0.12,Central,"Range, Microwave, Dishwasher, Refrigerator",,Metal,Separate/Formal Dining Room,"Full, Finished (Livable), Egress Windows",1,0,0,1,SF,2,"Main Floor Full Bath, 3/4 Basement",4,500,Not Assumable,0,Unknown,112
3460,1455 Portland Ave,55104,MN,STP - Saint Paul,365000,3/16/17 0:00,339900,Exclusive Right,339900,208.4523,810,Full,625 - St. Paul,3,3/23/17 0:00,0,"Living Room, Dining Room, Family Room, Kitchen, First (1st) Bedroom, Second (2nd) Bedroom, Third (3rd) Bedroom, Fourth (4th) Bedroom, Porch, Patio, Mud Room","Asphalt Shingles, Age 8 Years or Less",No,,3,Detached Garage,1245,4082,4326,2016,1751,,1913,Residential-Single,(SF) Two Stories,0.14,Window,"Range, Microwave, Dishwasher, Refrigerator, Freezer, Washer, Dryer",,Vinyl,Separate/Formal Dining Room,"Full, Finished (Livable)",1,0,0,1,SF,2,"Upper Level Full Bath , 3/4 Basement",3,506,,0,Unknown,244
